1s2.2s              | 2S     | 1/2 |                0     |     L7237
                    |        |     |                      |           
1s2.2p              | 2P*    | 1/2 |           224366     |          
                    |        | 3/2 |           239429     |          
                    |        |     |                      |           
1s2.3s              | 2S     | 1/2 |          3220100     |          
                    |        |     |                      |           
1s2.3p              | 2P*    | 1/2 |          3282020     |          
                    |        | 3/2 |          3286550     |          
                    |        |     |                      |           
1s2.3d              | 2D     | 3/2 |          3309260     |          
                    |        | 5/2 |          3310680     |          
                    |        |     |                      |           
1s2.4s              | 2S     | 1/2 |          4319700     |          
                    |        |     |                      |           
1s2.4p              | 2P*    | 1/2 |          4344980     |          
                    |        | 3/2 |          4346860     |          
                    |        |     |                      |           
1s2.4d              | 2D     | 3/2 |          4356570     |          
                    |        | 5/2 |          4357210     |          
                    |        |     |                      |           
1s2.4f              | 2F*    | 5/2 |          4357630     |          
                    |        | 7/2 |          4357930     |          
                    |        |     |                      |           
